RowID,Date,Month,Year,Location,IndicatorName,IndicatorValue
Unemployment rate (annual average)Wake County20090101,01/01/2009,,2009,Wake County,Unemployment rate (annual average),8.2%
Unemployment rate (annual average)Wake County20100101,01/01/2010,,2010,Wake County,Unemployment rate (annual average),8.3%
Unemployment rate (annual average)Wake County20110101,01/01/2011,,2011,Wake County,Unemployment rate (annual average),7.8%
Unemployment rate (annual average)Wake County20120101,01/01/2012,,2012,Wake County,Unemployment rate (annual average),7.1%
Unemployment rate (annual average)Wake County20130101,01/01/2013,,2013,Wake County,Unemployment rate (annual average),6.0%
Unemployment rate (annual average)Wake County20140101,01/01/2014,,2014,Wake County,Unemployment rate (annual average),4.8%
Unemployment rateBenchmarkAverage20050101,01/01/2005,January,2005,BenchmarkAverage,Unemployment rate,5.2%
Unemployment rateBenchmarkAverage20050201,02/01/2005,February,2005,BenchmarkAverage,Unemployment rate,5.2%
Unemployment rateBenchmarkAverage20050301,03/01/2005,March,2005,BenchmarkAverage,Unemployment rate,5.0%
Unemployment rateBenchmarkAverage20050401,04/01/2005,April,2005,BenchmarkAverage,Unemployment rate,4.7%
Unemployment rateBenchmarkAverage20050501,05/01/2005,May,2005,BenchmarkAverage,Unemployment rate,4.8%
Unemployment rateBenchmarkAverage20050601,06/01/2005,June,2005,BenchmarkAverage,Unemployment rate,5.3%
Unemployment rateBenchmarkAverage20050701,07/01/2005,July,2005,BenchmarkAverage,Unemployment rate,4.9%
Unemployment rateBenchmarkAverage20050801,08/01/2005,August,2005,BenchmarkAverage,Unemployment rate,4.9%
Unemployment rateBenchmarkAverage20050901,09/01/2005,September,2005,BenchmarkAverage,Unemployment rate,5.3%
Unemployment rateBenchmarkAverage20051001,10/01/2005,October,2005,BenchmarkAverage,Unemployment rate,5.0%
Unemployment rateBenchmarkAverage20051101,11/01/2005,November,2005,BenchmarkAverage,Unemployment rate,5.1%
Unemployment rateBenchmarkAverage20051201,12/01/2005,December,2005,BenchmarkAverage,Unemployment rate,4.6%
Unemployment rateBenchmarkAverage20060101,01/01/2006,January,2006,BenchmarkAverage,Unemployment rate,4.7%
Unemployment rateBenchmarkAverage20060201,02/01/2006,February,2006,BenchmarkAverage,Unemployment rate,4.5%
Unemployment rateBenchmarkAverage20060301,03/01/2006,March,2006,BenchmarkAverage,Unemployment rate,4.3%
Unemployment rateBenchmarkAverage20060401,04/01/2006,April,2006,BenchmarkAverage,Unemployment rate,4.1%
Unemployment rateBenchmarkAverage20060501,05/01/2006,May,2006,BenchmarkAverage,Unemployment rate,4.3%
Unemployment rateBenchmarkAverage20060601,06/01/2006,June,2006,BenchmarkAverage,Unemployment rate,4.7%
Unemployment rateBenchmarkAverage20060701,07/01/2006,July,2006,BenchmarkAverage,Unemployment rate,4.6%
Unemployment rateBenchmarkAverage20060801,08/01/2006,August,2006,BenchmarkAverage,Unemployment rate,4.5%
Unemployment rateBenchmarkAverage20060901,09/01/2006,September,2006,BenchmarkAverage,Unemployment rate,4.3%
Unemployment rateBenchmarkAverage20061001,10/01/2006,October,2006,BenchmarkAverage,Unemployment rate,4.0%
Unemployment rateBenchmarkAverage20061101,11/01/2006,November,2006,BenchmarkAverage,Unemployment rate,4.0%
Unemployment rateBenchmarkAverage20061201,12/01/2006,December,2006,BenchmarkAverage,Unemployment rate,3.9%
Unemployment rateBenchmarkAverage20070101,01/01/2007,January,2007,BenchmarkAverage,Unemployment rate,4.5%
Unemployment rateBenchmarkAverage20070201,02/01/2007,February,2007,BenchmarkAverage,Unemployment rate,4.2%
Unemployment rateBenchmarkAverage20070301,03/01/2007,March,2007,BenchmarkAverage,Unemployment rate,4.1%
Unemployment rateBenchmarkAverage20070401,04/01/2007,April,2007,BenchmarkAverage,Unemployment rate,3.8%
Unemployment rateBenchmarkAverage20070501,05/01/2007,May,2007,BenchmarkAverage,Unemployment rate,3.9%
Unemployment rateBenchmarkAverage20070601,06/01/2007,June,2007,BenchmarkAverage,Unemployment rate,4.4%
Unemployment rateBenchmarkAverage20070701,07/01/2007,July,2007,BenchmarkAverage,Unemployment rate,4.4%
Unemployment rateBenchmarkAverage20070801,08/01/2007,August,2007,BenchmarkAverage,Unemployment rate,4.3%
Unemployment rateBenchmarkAverage20070901,09/01/2007,September,2007,BenchmarkAverage,Unemployment rate,4.3%
Unemployment rateBenchmarkAverage20071001,10/01/2007,October,2007,BenchmarkAverage,Unemployment rate,4.2%
Unemployment rateBenchmarkAverage20071101,11/01/2007,November,2007,BenchmarkAverage,Unemployment rate,4.1%
Unemployment rateBenchmarkAverage20071201,12/01/2007,December,2007,BenchmarkAverage,Unemployment rate,4.5%
Unemployment rateBenchmarkAverage20080101,01/01/2008,January,2008,BenchmarkAverage,Unemployment rate,4.8%
Unemployment rateBenchmarkAverage20080201,02/01/2008,February,2008,BenchmarkAverage,Unemployment rate,4.6%
Unemployment rateBenchmarkAverage20080301,03/01/2008,March,2008,BenchmarkAverage,Unemployment rate,4.7%
Unemployment rateBenchmarkAverage20080401,04/01/2008,April,2008,BenchmarkAverage,Unemployment rate,4.4%
Unemployment rateBenchmarkAverage20080501,05/01/2008,May,2008,BenchmarkAverage,Unemployment rate,5.1%
Unemployment rateBenchmarkAverage20080601,06/01/2008,June,2008,BenchmarkAverage,Unemployment rate,5.7%
Unemployment rateBenchmarkAverage20080701,07/01/2008,July,2008,BenchmarkAverage,Unemployment rate,5.8%
Unemployment rateBenchmarkAverage20080801,08/01/2008,August,2008,BenchmarkAverage,Unemployment rate,6.1%
Unemployment rateBenchmarkAverage20080901,09/01/2008,September,2008,BenchmarkAverage,Unemployment rate,6.0%
Unemployment rateBenchmarkAverage20081001,10/01/2008,October,2008,BenchmarkAverage,Unemployment rate,6.0%
Unemployment rateBenchmarkAverage20081101,11/01/2008,November,2008,BenchmarkAverage,Unemployment rate,6.2%
Unemployment rateBenchmarkAverage20081201,12/01/2008,December,2008,BenchmarkAverage,Unemployment rate,6.8%
Unemployment rateBenchmarkAverage20090101,01/01/2009,January,2009,BenchmarkAverage,Unemployment rate,7.8%
Unemployment rateBenchmarkAverage20090201,02/01/2009,February,2009,BenchmarkAverage,Unemployment rate,8.2%
Unemployment rateBenchmarkAverage20090301,03/01/2009,March,2009,BenchmarkAverage,Unemployment rate,8.4%
Unemployment rateBenchmarkAverage20090401,04/01/2009,April,2009,BenchmarkAverage,Unemployment rate,8.1%
Unemployment rateBenchmarkAverage20090501,05/01/2009,May,2009,BenchmarkAverage,Unemployment rate,8.9%
Unemployment rateBenchmarkAverage20090601,06/01/2009,June,2009,BenchmarkAverage,Unemployment rate,9.6%
Unemployment rateBenchmarkAverage20090701,07/01/2009,July,2009,BenchmarkAverage,Unemployment rate,9.5%
Unemployment rateBenchmarkAverage20090801,08/01/2009,August,2009,BenchmarkAverage,Unemployment rate,9.6%
Unemployment rateBenchmarkAverage20090901,09/01/2009,September,2009,BenchmarkAverage,Unemployment rate,9.5%
Unemployment rateBenchmarkAverage20091001,10/01/2009,October,2009,BenchmarkAverage,Unemployment rate,9.5%
Unemployment rateBenchmarkAverage20091101,11/01/2009,November,2009,BenchmarkAverage,Unemployment rate,9.2%
Unemployment rateBenchmarkAverage20091201,12/01/2009,December,2009,BenchmarkAverage,Unemployment rate,9.4%
Unemployment rateBenchmarkAverage20100101,01/01/2010,January,2010,BenchmarkAverage,Unemployment rate,9.7%
Unemployment rateBenchmarkAverage20100201,02/01/2010,February,2010,BenchmarkAverage,Unemployment rate,9.6%
Unemployment rateBenchmarkAverage20100301,03/01/2010,March,2010,BenchmarkAverage,Unemployment rate,9.3%
Unemployment rateBenchmarkAverage20100401,04/01/2010,April,2010,BenchmarkAverage,Unemployment rate,8.8%
Unemployment rateBenchmarkAverage20100501,05/01/2010,May,2010,BenchmarkAverage,Unemployment rate,8.9%
Unemployment rateBenchmarkAverage20100601,06/01/2010,June,2010,BenchmarkAverage,Unemployment rate,9.3%
Unemployment rateBenchmarkAverage20100701,07/01/2010,July,2010,BenchmarkAverage,Unemployment rate,9.2%
Unemployment rateBenchmarkAverage20100801,08/01/2010,August,2010,BenchmarkAverage,Unemployment rate,9.3%
Unemployment rateBenchmarkAverage20100901,09/01/2010,September,2010,BenchmarkAverage,Unemployment rate,9.0%
Unemployment rateBenchmarkAverage20101001,10/01/2010,October,2010,BenchmarkAverage,Unemployment rate,8.8%
Unemployment rateBenchmarkAverage20101101,11/01/2010,November,2010,BenchmarkAverage,Unemployment rate,9.0%
Unemployment rateBenchmarkAverage20101201,12/01/2010,December,2010,BenchmarkAverage,Unemployment rate,8.7%
Unemployment rateBenchmarkAverage20110101,01/01/2011,January,2011,BenchmarkAverage,Unemployment rate,9.1%
Unemployment rateBenchmarkAverage20110201,02/01/2011,February,2011,BenchmarkAverage,Unemployment rate,8.9%
Unemployment rateBenchmarkAverage20110301,03/01/2011,March,2011,BenchmarkAverage,Unemployment rate,8.6%
Unemployment rateBenchmarkAverage20110401,04/01/2011,April,2011,BenchmarkAverage,Unemployment rate,8.2%
Unemployment rateBenchmarkAverage20110501,05/01/2011,May,2011,BenchmarkAverage,Unemployment rate,8.5%
Unemployment rateBenchmarkAverage20110601,06/01/2011,June,2011,BenchmarkAverage,Unemployment rate,9.1%
Unemployment rateBenchmarkAverage20110701,07/01/2011,July,2011,BenchmarkAverage,Unemployment rate,8.9%
Unemployment rateBenchmarkAverage20110801,08/01/2011,August,2011,BenchmarkAverage,Unemployment rate,8.8%
Unemployment rateBenchmarkAverage20110901,09/01/2011,September,2011,BenchmarkAverage,Unemployment rate,8.5%
Unemployment rateBenchmarkAverage20111001,10/01/2011,October,2011,BenchmarkAverage,Unemployment rate,8.2%
Unemployment rateBenchmarkAverage20111101,11/01/2011,November,2011,BenchmarkAverage,Unemployment rate,7.7%
Unemployment rateBenchmarkAverage20111201,12/01/2011,December,2011,BenchmarkAverage,Unemployment rate,7.6%
Unemployment rateBenchmarkAverage20120101,01/01/2012,January,2012,BenchmarkAverage,Unemployment rate,8.0%
Unemployment rateBenchmarkAverage20120201,02/01/2012,February,2012,BenchmarkAverage,Unemployment rate,7.8%
Unemployment rateBenchmarkAverage20120301,03/01/2012,March,2012,BenchmarkAverage,Unemployment rate,7.5%
Unemployment rateBenchmarkAverage20120401,04/01/2012,April,2012,BenchmarkAverage,Unemployment rate,7.0%
Unemployment rateBenchmarkAverage20120501,05/01/2012,May,2012,BenchmarkAverage,Unemployment rate,7.5%
Unemployment rateBenchmarkAverage20120601,06/01/2012,June,2012,BenchmarkAverage,Unemployment rate,8.0%
Unemployment rateBenchmarkAverage20120701,07/01/2012,July,2012,BenchmarkAverage,Unemployment rate,8.0%
Unemployment rateBenchmarkAverage20120801,08/01/2012,August,2012,BenchmarkAverage,Unemployment rate,7.7%
Unemployment rateBenchmarkAverage20120901,09/01/2012,September,2012,BenchmarkAverage,Unemployment rate,7.1%
Unemployment rateBenchmarkAverage20121001,10/01/2012,October,2012,BenchmarkAverage,Unemployment rate,7.0%
Unemployment rateBenchmarkAverage20121101,11/01/2012,November,2012,BenchmarkAverage,Unemployment rate,6.7%
Unemployment rateBenchmarkAverage20121201,12/01/2012,December,2012,BenchmarkAverage,Unemployment rate,7.0%
Unemployment rateBenchmarkAverage20130101,01/01/2013,January,2013,BenchmarkAverage,Unemployment rate,7.7%
Unemployment rateBenchmarkAverage20130201,02/01/2013,February,2013,BenchmarkAverage,Unemployment rate,7.2%
Unemployment rateBenchmarkAverage20130301,03/01/2013,March,2013,BenchmarkAverage,Unemployment rate,7.0%
Unemployment rateBenchmarkAverage20130401,04/01/2013,April,2013,BenchmarkAverage,Unemployment rate,6.7%
Unemployment rateBenchmarkAverage20130501,05/01/2013,May,2013,BenchmarkAverage,Unemployment rate,7.0%
Unemployment rateBenchmarkAverage20130601,06/01/2013,June,2013,BenchmarkAverage,Unemployment rate,7.5%
Unemployment rateBenchmarkAverage20130701,07/01/2013,July,2013,BenchmarkAverage,Unemployment rate,7.2%
Unemployment rateBenchmarkAverage20130801,08/01/2013,August,2013,BenchmarkAverage,Unemployment rate,7.0%
Unemployment rateBenchmarkAverage20130901,09/01/2013,September,2013,BenchmarkAverage,Unemployment rate,6.7%
Unemployment rateBenchmarkAverage20131001,10/01/2013,October,2013,BenchmarkAverage,Unemployment rate,6.7%
Unemployment rateBenchmarkAverage20131101,11/01/2013,November,2013,BenchmarkAverage,Unemployment rate,6.1%
Unemployment rateBenchmarkAverage20131201,12/01/2013,December,2013,BenchmarkAverage,Unemployment rate,5.9%
Unemployment rateBenchmarkAverage20140101,01/01/2014,January,2014,BenchmarkAverage,Unemployment rate,6.2%
Unemployment rateBenchmarkAverage20140201,02/01/2014,February,2014,BenchmarkAverage,Unemployment rate,6.3%
Unemployment rateBenchmarkAverage20140301,03/01/2014,March,2014,BenchmarkAverage,Unemployment rate,6.2%
Unemployment rateBenchmarkAverage20140401,04/01/2014,April,2014,BenchmarkAverage,Unemployment rate,5.5%
Unemployment rateBenchmarkAverage20140501,05/01/2014,May,2014,BenchmarkAverage,Unemployment rate,6.0%
Unemployment rateBenchmarkAverage20140601,06/01/2014,June,2014,BenchmarkAverage,Unemployment rate,6.3%
Unemployment rateBenchmarkAverage20140701,07/01/2014,July,2014,BenchmarkAverage,Unemployment rate,6.4%
Unemployment rateBenchmarkAverage20140801,08/01/2014,August,2014,BenchmarkAverage,Unemployment rate,6.4%
Unemployment rateBenchmarkAverage20140901,09/01/2014,September,2014,BenchmarkAverage,Unemployment rate,5.8%
Unemployment rateBenchmarkAverage20141001,10/01/2014,October,2014,BenchmarkAverage,Unemployment rate,5.6%
Unemployment rateBenchmarkAverage20141101,11/01/2014,November,2014,BenchmarkAverage,Unemployment rate,5.5%
Unemployment rateBenchmarkAverage20141201,12/01/2014,December,2014,BenchmarkAverage,Unemployment rate,5.2%
Unemployment rateBenchmarkAverage20150101,01/01/2015,January,2015,BenchmarkAverage,Unemployment rate,5.7%
Unemployment rateBenchmarkAverage20150201,02/01/2015,February,2015,BenchmarkAverage,Unemployment rate,5.3%
Unemployment rateBenchmarkAverage20150301,03/01/2015,March,2015,BenchmarkAverage,Unemployment rate,5.2%
Unemployment rateBenchmarkAverage20150401,04/01/2015,April,2015,BenchmarkAverage,Unemployment rate,5.0%
Unemployment rateBenchmarkAverage20150501,05/01/2015,May,2015,BenchmarkAverage,Unemployment rate,5.4%
Unemployment rateBenchmarkAverage20150601,06/01/2015,June,2015,BenchmarkAverage,Unemployment rate,5.6%
Unemployment rateBenchmarkAverage20150701,07/01/2015,July,2015,BenchmarkAverage,Unemployment rate,5.6%
Unemployment rateDavidson County20050101,01/01/2005,January,2005,Davidson County,Unemployment rate,4.9%
Unemployment rateDavidson County20050201,02/01/2005,February,2005,Davidson County,Unemployment rate,5.0%
Unemployment rateDavidson County20050301,03/01/2005,March,2005,Davidson County,Unemployment rate,4.9%
Unemployment rateDavidson County20050401,04/01/2005,April,2005,Davidson County,Unemployment rate,4.6%
Unemployment rateDavidson County20050501,05/01/2005,May,2005,Davidson County,Unemployment rate,4.7%
Unemployment rateDavidson County20050601,06/01/2005,June,2005,Davidson County,Unemployment rate,4.9%
Unemployment rateDavidson County20050701,07/01/2005,July,2005,Davidson County,Unemployment rate,4.2%
Unemployment rateDavidson County20050801,08/01/2005,August,2005,Davidson County,Unemployment rate,4.4%
Unemployment rateDavidson County20050901,09/01/2005,September,2005,Davidson County,Unemployment rate,4.0%
Unemployment rateDavidson County20051001,10/01/2005,October,2005,Davidson County,Unemployment rate,4.2%
