RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorID_old,IndicatorTable
Tampa. FL_B25070_005E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Renter households paying 20 to 24.9 percent of pre-tax income on housing,4762,B25070_005E,HD01_VD05,B25070. Gross rent as a percentage of household income in the past 12 months
Tampa. FL_B25070_008E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Renter households paying 35 to 39.9 percent of pre-tax income on housing,4219,B25070_008E,HD01_VD08,B25070. Gross rent as a percentage of household income in the past 12 months
Tampa. FL_B25070_011E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Renter households not computed,4129,B25070_011E,HD01_VD11,B25070. Gross rent as a percentage of household income in the past 12 months
Tampa. FL_B25070_009E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Renter households paying 40 to 49.9 percent of pre-tax income on housing,6740,B25070_009E,HD01_VD09,B25070. Gross rent as a percentage of household income in the past 12 months
Tampa. FL_B25070_010E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Renter households paying more than 50 percent of pre-tax income on housing,13672,B25070_010E,HD01_VD10,B25070. Gross rent as a percentage of household income in the past 12 months
Tampa. FL_Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E)_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Percent of renter households paying unaffordable housing cost,49,Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E),Calculation: (HD01_VD08+HD01_VD09+HD01_VD10)/(HD01_VD01-HD01_VD11),B25070. Gross rent as a percentage of household income in the past 12 months
Tampa. FL_B25070_004E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Renter households paying 15 to 19.9 percent of pre-tax income on housing,5968,B25070_004E,HD01_VD04,B25070. Gross rent as a percentage of household income in the past 12 months
Tampa. FL_B25070_006E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Renter households paying 25 to 29.9 percent of pre-tax income on housing,6405,B25070_006E,HD01_VD06,B25070. Gross rent as a percentage of household income in the past 12 months
Tampa. FL_B25070_001E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Total renter households,54884,B25070_001E,HD01_VD01,B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_B25070_002E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Renter households paying less than 10 percent of pre-tax income on housing,2460,B25070_002E,HD01_VD02,B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_B25070_003E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Renter households paying 10 to 14.9 percent of pre-tax income on housing,5683,B25070_003E,HD01_VD03,B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_B25070_007E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Renter households paying 30 to 34.9 percent of pre-tax income on housing,6646,B25070_007E,HD01_VD07,B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_B25070_005E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Renter households paying 20 to 24.9 percent of pre-tax income on housing,11313,B25070_005E,HD01_VD05,B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_B25070_008E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Renter households paying 35 to 39.9 percent of pre-tax income on housing,4195,B25070_008E,HD01_VD08,B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_B25070_011E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Renter households not computed,3743,B25070_011E,HD01_VD11,B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_B25070_009E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Renter households paying 40 to 49.9 percent of pre-tax income on housing,7637,B25070_009E,HD01_VD09,B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_B25070_010E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Renter households paying more than 50 percent of pre-tax income on housing,19261,B25070_010E,HD01_VD10,B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E)_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Percent of renter households paying unaffordable housing cost,41,Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E),Calculation: (HD01_VD08+HD01_VD09+HD01_VD10)/(HD01_VD01-HD01_VD11),B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_B25070_004E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Renter households paying 15 to 19.9 percent of pre-tax income on housing,8368,B25070_004E,HD01_VD04,B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_B25070_006E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Renter households paying 25 to 29.9 percent of pre-tax income on housing,10515,B25070_006E,HD01_VD06,B25070. Gross rent as a percentage of household income in the past 12 months
"Atlanta, GA_B25070_001E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Total renter households,79821,B25070_001E,HD01_VD01,B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_B25070_002E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Renter households paying less than 10 percent of pre-tax income on housing,2281,B25070_002E,HD01_VD02,B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_B25070_003E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Renter households paying 10 to 14.9 percent of pre-tax income on housing,8165,B25070_003E,HD01_VD03,B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_B25070_007E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Renter households paying 30 to 34.9 percent of pre-tax income on housing,6363,B25070_007E,HD01_VD07,B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_B25070_005E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Renter households paying 20 to 24.9 percent of pre-tax income on housing,8985,B25070_005E,HD01_VD05,B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_B25070_008E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Renter households paying 35 to 39.9 percent of pre-tax income on housing,3722,B25070_008E,HD01_VD08,B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_B25070_011E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Renter households not computed,4955,B25070_011E,HD01_VD11,B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_B25070_009E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Renter households paying 40 to 49.9 percent of pre-tax income on housing,6103,B25070_009E,HD01_VD09,B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_B25070_010E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Renter households paying more than 50 percent of pre-tax income on housing,19278,B25070_010E,HD01_VD10,B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E)_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Percent of renter households paying unaffordable housing cost,39,Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E),Calculation: (HD01_VD08+HD01_VD09+HD01_VD10)/(HD01_VD01-HD01_VD11),B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_B25070_004E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Renter households paying 15 to 19.9 percent of pre-tax income on housing,10092,B25070_004E,HD01_VD04,B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_B25070_006E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Renter households paying 25 to 29.9 percent of pre-tax income on housing,8992,B25070_006E,HD01_VD06,B25070. Gross rent as a percentage of household income in the past 12 months
"Louisville, KY_B25070_001E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Total renter households,78936,B25070_001E,HD01_VD01,B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_B25070_002E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Renter households paying less than 10 percent of pre-tax income on housing,1761,B25070_002E,HD01_VD02,B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_B25070_003E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Renter households paying 10 to 14.9 percent of pre-tax income on housing,3076,B25070_003E,HD01_VD03,B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_B25070_007E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Renter households paying 30 to 34.9 percent of pre-tax income on housing,3092,B25070_007E,HD01_VD07,B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_B25070_005E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Renter households paying 20 to 24.9 percent of pre-tax income on housing,3602,B25070_005E,HD01_VD05,B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_B25070_008E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Renter households paying 35 to 39.9 percent of pre-tax income on housing,3807,B25070_008E,HD01_VD08,B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_B25070_011E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Renter households not computed,4337,B25070_011E,HD01_VD11,B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_B25070_009E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Renter households paying 40 to 49.9 percent of pre-tax income on housing,3973,B25070_009E,HD01_VD09,B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_B25070_010E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Renter households paying more than 50 percent of pre-tax income on housing,12949,B25070_010E,HD01_VD10,B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E)_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Percent of renter households paying unaffordable housing cost,51,Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E),Calculation: (HD01_VD08+HD01_VD09+HD01_VD10)/(HD01_VD01-HD01_VD11),B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_B25070_004E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Renter households paying 15 to 19.9 percent of pre-tax income on housing,4049,B25070_004E,HD01_VD04,B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_B25070_006E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Renter households paying 25 to 29.9 percent of pre-tax income on housing,4335,B25070_006E,HD01_VD06,B25070. Gross rent as a percentage of household income in the past 12 months
"Baton Rouge, LA_B25070_001E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Total renter households,44981,B25070_001E,HD01_VD01,B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_B25070_002E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Renter households paying less than 10 percent of pre-tax income on housing,1113,B25070_002E,HD01_VD02,B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_B25070_003E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Renter households paying 10 to 14.9 percent of pre-tax income on housing,1954,B25070_003E,HD01_VD03,B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_B25070_007E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Renter households paying 30 to 34.9 percent of pre-tax income on housing,1865,B25070_007E,HD01_VD07,B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_B25070_005E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Renter households paying 20 to 24.9 percent of pre-tax income on housing,3749,B25070_005E,HD01_VD05,B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_B25070_008E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Renter households paying 35 to 39.9 percent of pre-tax income on housing,2403,B25070_008E,HD01_VD08,B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_B25070_011E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Renter households not computed,6293,B25070_011E,HD01_VD11,B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_B25070_009E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Renter households paying 40 to 49.9 percent of pre-tax income on housing,4085,B25070_009E,HD01_VD09,B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_B25070_010E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Renter households paying more than 50 percent of pre-tax income on housing,11163,B25070_010E,HD01_VD10,B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E)_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Percent of renter households paying unaffordable housing cost,54,Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E),Calculation: (HD01_VD08+HD01_VD09+HD01_VD10)/(HD01_VD01-HD01_VD11),B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_B25070_004E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Renter households paying 15 to 19.9 percent of pre-tax income on housing,3356,B25070_004E,HD01_VD04,B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_B25070_006E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Renter households paying 25 to 29.9 percent of pre-tax income on housing,2784,B25070_006E,HD01_VD06,B25070. Gross rent as a percentage of household income in the past 12 months
"New Orleans, LA_B25070_001E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Total renter households,38765,B25070_001E,HD01_VD01,B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_B25070_002E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Renter households paying less than 10 percent of pre-tax income on housing,2068,B25070_002E,HD01_VD02,B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_B25070_003E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Renter households paying 10 to 14.9 percent of pre-tax income on housing,4564,B25070_003E,HD01_VD03,B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_B25070_007E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Renter households paying 30 to 34.9 percent of pre-tax income on housing,5731,B25070_007E,HD01_VD07,B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_B25070_005E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Renter households paying 20 to 24.9 percent of pre-tax income on housing,9233,B25070_005E,HD01_VD05,B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_B25070_008E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Renter households paying 35 to 39.9 percent of pre-tax income on housing,3780,B25070_008E,HD01_VD08,B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_B25070_011E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Renter households not computed,1439,B25070_011E,HD01_VD11,B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_B25070_009E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Renter households paying 40 to 49.9 percent of pre-tax income on housing,6534,B25070_009E,HD01_VD09,B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_B25070_010E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Renter households paying more than 50 percent of pre-tax income on housing,14662,B25070_010E,HD01_VD10,B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E)_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Percent of renter households paying unaffordable housing cost,39,Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E),Calculation: (HD01_VD08+HD01_VD09+HD01_VD10)/(HD01_VD01-HD01_VD11),B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_B25070_004E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Renter households paying 15 to 19.9 percent of pre-tax income on housing,9006,B25070_004E,HD01_VD04,B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_B25070_006E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Renter households paying 25 to 29.9 percent of pre-tax income on housing,7895,B25070_006E,HD01_VD06,B25070. Gross rent as a percentage of household income in the past 12 months
"Raleigh, NC_B25070_001E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Total renter households,64912,B25070_001E,HD01_VD01,B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_B25070_002E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Renter households paying less than 10 percent of pre-tax income on housing,3605,B25070_002E,HD01_VD02,B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_B25070_003E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Renter households paying 10 to 14.9 percent of pre-tax income on housing,8723,B25070_003E,HD01_VD03,B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_B25070_007E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Renter households paying 30 to 34.9 percent of pre-tax income on housing,5185,B25070_007E,HD01_VD07,B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_B25070_005E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Renter households paying 20 to 24.9 percent of pre-tax income on housing,10043,B25070_005E,HD01_VD05,B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_B25070_008E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Renter households paying 35 to 39.9 percent of pre-tax income on housing,4503,B25070_008E,HD01_VD08,B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_B25070_011E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Renter households not computed,7210,B25070_011E,HD01_VD11,B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_B25070_009E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Renter households paying 40 to 49.9 percent of pre-tax income on housing,7046,B25070_009E,HD01_VD09,B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_B25070_010E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Renter households paying more than 50 percent of pre-tax income on housing,18403,B25070_010E,HD01_VD10,B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E)_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Percent of renter households paying unaffordable housing cost,39,Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E),Calculation: (HD01_VD08+HD01_VD09+HD01_VD10)/(HD01_VD01-HD01_VD11),B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_B25070_004E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Renter households paying 15 to 19.9 percent of pre-tax income on housing,10145,B25070_004E,HD01_VD04,B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_B25070_006E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Renter households paying 25 to 29.9 percent of pre-tax income on housing,9540,B25070_006E,HD01_VD06,B25070. Gross rent as a percentage of household income in the past 12 months
"Oklahoma City, OK_B25070_001E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Total renter households,84403,B25070_001E,HD01_VD01,B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_B25070_002E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Renter households paying less than 10 percent of pre-tax income on housing,1780,B25070_002E,HD01_VD02,B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_B25070_003E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Renter households paying 10 to 14.9 percent of pre-tax income on housing,7221,B25070_003E,HD01_VD03,B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_B25070_007E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Renter households paying 30 to 34.9 percent of pre-tax income on housing,9809,B25070_007E,HD01_VD07,B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_B25070_005E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Renter households paying 20 to 24.9 percent of pre-tax income on housing,14518,B25070_005E,HD01_VD05,B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_B25070_008E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Renter households paying 35 to 39.9 percent of pre-tax income on housing,6736,B25070_008E,HD01_VD08,B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_B25070_011E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Renter households not computed,7773,B25070_011E,HD01_VD11,B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_B25070_009E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Renter households paying 40 to 49.9 percent of pre-tax income on housing,11159,B25070_009E,HD01_VD09,B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_B25070_010E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Renter households paying more than 50 percent of pre-tax income on housing,33383,B25070_010E,HD01_VD10,B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E)_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Percent of renter households paying unaffordable housing cost,47,Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E),Calculation: (HD01_VD08+HD01_VD09+HD01_VD10)/(HD01_VD01-HD01_VD11),B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_B25070_004E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Renter households paying 15 to 19.9 percent of pre-tax income on housing,12398,B25070_004E,HD01_VD04,B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_B25070_006E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Renter households paying 25 to 29.9 percent of pre-tax income on housing,12787,B25070_006E,HD01_VD06,B25070. Gross rent as a percentage of household income in the past 12 months
"Memphis, TN_B25070_001E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Total renter households,117564,B25070_001E,HD01_VD01,B25070. Gross rent as a percentage of household income in the past 12 months
"Nashville, TN_B25070_002E_2007",01/01/2007 12:00:00 AM,2007,"Nashville, TN",Renter households paying less than 10 percent of pre-tax income on housing,3435,B25070_002E,HD01_VD02,B25070. Gross rent as a percentage of household income in the past 12 months
"Nashville, TN_B25070_003E_2007",01/01/2007 12:00:00 AM,2007,"Nashville, TN",Renter households paying 10 to 14.9 percent of pre-tax income on housing,9858,B25070_003E,HD01_VD03,B25070. Gross rent as a percentage of household income in the past 12 months
"Nashville, TN_B25070_007E_2007",01/01/2007 12:00:00 AM,2007,"Nashville, TN",Renter households paying 30 to 34.9 percent of pre-tax income on housing,8432,B25070_007E,HD01_VD07,B25070. Gross rent as a percentage of household income in the past 12 months
"Nashville, TN_B25070_005E_2007",01/01/2007 12:00:00 AM,2007,"Nashville, TN",Renter households paying 20 to 24.9 percent of pre-tax income on housing,12186,B25070_005E,HD01_VD05,B25070. Gross rent as a percentage of household income in the past 12 months
